,quality,alcohol,pH
1152,5,9.8,3.15
1153,6,11.1,3.23
1154,6,11.4,3.59
1155,5,9.8,3.15
1156,7,11.8,3.33
1157,7,12.9,3.46
1158,6,10.6,3.42
1159,5,10.8,3.16
1160,7,11.1,3.14
1161,6,10.2,3.21
1162,7,11.8,3.14
1163,5,10.0,3.29
1164,5,10.0,3.29
1165,5,9.4,3.01
1166,5,10.2,2.94
1167,7,12.4,3.32
1168,6,12.0,3.21
1169,6,11.5,3.32
1170,6,10.5,3.2
1171,6,10.8,3.42
1172,6,12.3,3.27
1173,6,9.5,3.46
1174,6,9.5,3.46
1175,6,11.5,3.61
1176,4,11.2,3.58
1177,7,12.7,3.35
1178,5,11.4,3.68
1179,6,11.0,3.27
1180,6,11.0,3.27
1181,5,11.4,3.19
1182,6,10.5,3.38
1183,5,9.3,3.29
1184,5,10.9,3.36
1185,6,11.9,3.33
1186,5,12.2,3.52
1187,6,11.9,3.33
1188,5,10.9,3.36
1189,4,9.6,3.3
1190,6,12.5,3.28
1191,5,10.8,3.56
1192,7,12.4,3.52
1193,5,10.8,3.56
1194,6,9.5,3.22
1195,6,9.5,3.52
1196,6,9.5,3.21
1197,6,9.8,3.16
1198,6,10.9,3.15
1199,6,9.5,3.21
1200,6,9.8,3.16
1201,7,11.2,3.27
1202,8,11.7,3.35
1203,5,9.4,3.14
1204,7,11.0,3.4
1205,7,11.0,3.4
1206,7,11.0,3.4
1207,5,10.0,3.35
1208,7,11.0,3.4
1209,7,11.2,3.45
1210,6,10.4,3.35
1211,5,9.3,3.32
1212,6,10.4,3.35
1213,6,10.5,3.15
1214,6,10.4,3.1
1215,6,11.3,3.26
1216,6,9.5,3.29
1217,6,12.0,3.23
1218,6,10.6,3.24
1219,6,10.9,3.2
1220,6,11.5,3.28
1221,6,11.5,3.28
1222,6,9.6,3.26
1223,6,12.0,3.23
1224,6,10.3,3.07
1225,5,9.4,3.15
1226,5,9.2,3.02
1227,5,9.6,3.27
1228,7,13.6,3.68
1229,5,9.5,3.4
1230,6,11.8,3.37
1231,5,10.8,3.38
1232,5,9.5,3.4
1233,4,9.3,3.23
1234,6,12.8,3.39
1235,4,11.5,3.3
1236,6,9.4,3.26
1237,6,12.8,3.39
1238,4,9.6,3.38
1239,4,11.8,3.45
1240,5,9.3,3.1
1241,5,9.8,3.16
1242,6,12.2,3.22
1243,5,9.5,3.37
1244,6,10.3,3.33
1245,5,10.5,3.49
1246,5,10.0,3.12
1247,5,10.5,3.49
1248,6,11.1,3.41
1249,6,10.9,3.4
1250,6,10.9,3.4
1251,5,9.8,3.28
1252,5,9.8,3.45
1253,5,9.5,3.43
1254,5,10.9,3.4
1255,5,11.0,3.47
1256,5,9.2,3.1
1257,6,11.0,3.32
1258,6,11.3,3.44
1259,6,11.3,3.44
1260,5,9.3,3.02
1261,4,11.2,3.59
1262,5,9.8,3.15
1263,4,9.6,3.37
1264,6,11.8,3.38
1265,6,10.3,3.38
1266,6,10.3,3.38
1267,6,11.4,3.1
1268,6,9.5,3.47
1269,8,14.0,3.5
1270,6,14.0,3.7
1271,6,11.7,3.38
1272,5,11.2,3.5
1273,5,9.3,3.1
1274,6,11.2,3.24
1275,6,9.5,3.24
1276,4,12.0,3.28
1277,6,9.7,3.35
1278,6,9.5,3.24
1279,7,11.5,3.14
1280,6,10.4,3.37
1281,6,10.4,3.37
1282,6,10.9,3.33
1283,6,10.2,3.26
1284,5,10.9,3.39
1285,5,10.5,3.15
1286,6,12.4,3.35
1287,5,13.0,3.22
1288,5,10.2,3.3
1289,5,10.2,3.3
1290,5,11.0,3.36
1291,6,10.9,3.29
1292,6,12.4,3.62
1293,4,9.7,3.34
1294,6,10.9,3.29
1295,5,9.5,3.2
1296,5,9.5,3.2
1297,6,12.1,3.35
1298,6,12.2,3.45
1299,3,10.9,3.5
1300,6,12.5,3.78
1301,6,11.7,3.6
1302,6,11.2,3.3
1303,5,11.2,3.36
1304,5,9.2,3.12
1305,5,9.8,3.3
1306,5,10.1,3.29
1307,4,11.1,3.41
1308,5,10.1,3.29
1309,5,9.2,3.28
1310,5,9.8,3.3
1311,6,12.8,3.33
1312,5,10.5,3.34
1313,6,10.1,3.4
1314,6,10.1,3.4
1315,6,9.8,3.26
1316,6,12.5,4.01
1317,6,11.9,3.18
1318,6,9.8,3.26
1319,6,9.1,2.9
1320,5,10.1,3.26
1321,6,12.5,4.01
1322,5,11.4,3.18
1323,7,11.0,3.18
1324,6,10.6,3.39
1325,6,10.6,3.39
1326,6,10.6,3.39
1327,6,10.6,3.39
1328,5,9.3,3.34
1329,6,9.8,3.29
1330,6,9.8,3.29
1331,5,9.2,3.26
1332,6,9.7,3.09
1333,5,9.6,3.18
1334,5,10.0,3.39
1335,6,12.6,3.38
1336,5,9.5,3.36
1337,5,9.5,3.36
1338,5,9.5,3.36
1339,6,10.5,3.36
1340,6,10.5,3.36
1341,6,10.5,3.36
1342,6,10.4,3.37
1343,6,10.5,3.36
1344,5,11.0,3.09
1345,6,10.2,3.25
1346,5,11.4,3.52
1347,5,9.5,3.34
1348,5,9.5,3.34
1349,5,10.8,3.41
1350,5,10.0,3.34
1351,6,11.8,3.32
1352,5,10.3,3.37
1353,5,10.3,3.37
1354,5,10.0,3.35
1355,5,10.1,3.36
1356,5,10.1,3.36
1357,6,11.1,3.6
1358,5,9.5,3.28
1359,6,10.0333333333333,3.07
1360,5,10.9,3.24
1361,5,10.1,3.36
1362,6,10.0333333333333,3.07
1363,4,9.8,3.29
1364,6,11.8,3.46
1365,5,9.5,3.18
1366,5,9.8,3.24
1367,6,10.5,3.25
1368,6,9.8,3.27
1369,4,10.4,3.33
1370,5,9.2,3.0
1371,6,11.6,3.21
1372,5,9.2,3.0
1373,5,9.3,3.24
1374,3,9.8,3.32
1375,5,9.9,3.26
1376,5,10.0,3.11
1377,6,12.2,3.71
1378,6,9.9,3.29
1379,6,10.8,3.36
1380,6,10.8,3.36
1381,5,9.6,3.38
1382,5,9.9,3.3
1383,5,9.9,3.3
1384,5,9.5,3.19
1385,5,9.2,3.19
1386,5,9.6,3.3
1387,5,9.6,3.3
1388,5,10.3,3.35
1389,5,9.7,3.1
1390,6,12.5,3.58
1391,5,11.0,3.37
1392,5,9.8,3.17
1393,5,10.2,3.3
1394,5,9.2,3.32
1395,6,9.55,3.31
1396,5,9.55,3.31
1397,5,9.9,3.28
1398,7,10.2,3.52
1399,6,11.1,3.42
1400,5,9.9,3.25
1401,5,9.9,3.25
1402,6,11.9,3.44
1403,8,10.0,3.23
1404,6,10.7,3.43
1405,7,11.3,3.28
1406,6,10.9,3.22
1407,6,10.7,3.54
1408,7,12.4,3.27
1409,6,10.7,3.54
1410,6,11.9,3.5
1411,6,10.6,3.56
1412,6,10.9,3.22
1413,5,10.1,3.04
1414,5,9.6,3.2
1415,5,9.4,3.56
1416,5,9.6,3.2
1417,7,12.1,3.35
1418,5,9.8,3.16
1419,5,9.9,3.27
1420,5,9.8,3.16
1421,5,9.4,3.34
1422,6,11.4,3.39
1423,4,11.0,3.5
1424,6,9.6,3.26
1425,6,9.6,3.26
1426,6,12.1,3.41
1427,5,11.2,3.3
1428,5,11.0,3.31
1429,5,11.3,3.33
1430,5,10.4,3.37
1431,6,9.9,3.26
1432,6,11.7,3.48
1433,7,10.1,3.42
1434,6,9.0,3.18
1435,6,9.0,3.18
1436,5,8.5,3.15
1437,5,11.1,3.53
1438,5,10.3,3.41
1439,6,11.0666666666667,3.32
1440,7,11.3,3.23
1441,6,9.56666666666667,3.16
1442,5,9.8,3.4
1443,5,11.7,3.38
1444,6,11.1,3.32
1445,6,9.6,3.16
1446,5,9.8,3.4
1447,5,9.7,3.4
1448,5,9.7,3.4
1449,8,11.3,3.23
1450,7,11.3,3.23
1451,7,11.0,3.33
1452,7,11.6,3.35
1453,5,9.0,3.41
1454,6,10.9,3.21
1455,6,10.9,3.5
1456,6,10.55,3.3
1457,5,9.0,3.41
1458,5,10.5,3.39
1459,7,11.9,3.32
1460,6,10.4,3.41
1461,4,10.0,3.59
1462,6,10.4,3.36
1463,6,10.8,3.34
1464,5,9.7,3.41
1465,5,9.7,3.41
1466,7,10.0,3.3
1467,4,11.0,3.52
1468,7,10.0,3.3
1469,3,9.7,3.31
1470,5,9.7,2.88
1471,5,12.6,3.43
1472,6,11.1,3.38
1473,5,11.0,3.38
1474,5,8.8,3.16
1475,7,13.5666666666667,3.54
1476,5,8.8,3.16
1477,7,13.6,3.54
1478,3,10.2,3.4
1479,5,10.6,3.39
1480,4,10.1,3.66
1481,5,10.6,3.39
1482,4,10.3,3.33
1483,5,10.7,3.35
1484,4,10.9,3.53
1485,5,9.7,3.37
1486,5,10.3,3.38
1487,5,10.6,3.52
1488,5,11.4,3.72
1489,6,10.8,3.44
1490,6,12.4,3.39
1491,5,11.4,3.72
1492,5,11.95,3.57
1493,5,9.7,3.26
1494,7,10.0,3.42
1495,6,10.6,3.35
1496,5,9.7,3.26
1497,6,11.5,3.45
1498,6,10.8,3.53
1499,6,11.5,3.45
1500,5,9.6,3.26
1501,5,9.4,3.16
1502,5,9.8,3.31
1503,6,11.0,3.51
1504,6,11.4,3.36
1505,3,9.95,3.55
1506,6,10.8,3.51
1507,6,11.4,3.36
1508,6,10.6,3.38
1509,5,11.1,3.28
1510,6,9.7,3.47
1511,5,9.8,3.44
1512,6,10.4,3.53
1513,6,10.5,3.33
1514,6,9.23333333333333,3.53
1515,6,9.25,3.53
1516,5,10.6,3.42
1517,6,10.3,3.38
1518,5,10.5,3.32
1519,5,10.2,3.44
1520,6,10.3,3.38
1521,4,9.05,3.39
1522,5,10.6,3.42
1523,5,10.4,3.34
1524,6,10.0,3.39
1525,5,9.7,3.33
1526,6,9.6,3.3
1527,6,10.8,3.29
1528,6,10.1,3.31
1529,6,10.2,3.42
1530,6,11.3,3.42
1531,5,10.2,3.6
1532,6,9.9,3.21
1533,5,9.0,3.39
1534,7,11.7,3.42
1535,6,9.7,3.36
1536,6,10.3,3.6
1537,6,10.2,3.5
1538,5,12.0,3.57
1539,5,9.9,3.46
1540,6,11.6,3.56
1541,7,10.9,3.4
1542,6,10.75,3.3
1543,6,10.4,3.25
1544,7,11.2,3.17
1545,6,10.1,3.36
1546,5,10.2,3.36
1547,5,12.1,3.55
1548,5,10.4,3.1
1549,8,11.4,3.24
1550,5,9.5,3.45
1551,5,9.4,3.44
1552,6,11.3,3.51
1553,5,9.4,3.41
1554,6,11.0,3.54
1555,7,10.55,3.44
1556,5,9.9,3.53
1557,6,11.0,3.54
1558,5,9.5,3.22
1559,5,9.9,3.21
1560,5,9.9,3.21
1561,5,9.9,3.21
1562,5,10.1,3.29
1563,5,10.1,3.29
1564,5,10.1,3.29
1565,6,10.9,3.39
1566,6,11.2,3.34
1567,5,10.1,3.29
1568,5,9.2,3.34
1569,6,11.5,3.48
1570,6,12.4,3.37
1571,6,11.1,3.44
1572,5,9.5,3.33
1573,6,12.5,3.58
1574,6,10.5,3.39
1575,6,11.8,3.26
1576,6,10.8,3.3
1577,6,11.9,3.54
1578,6,11.3,3.42
1579,5,11.3,3.54
1580,6,11.9,3.36
1581,5,11.3,3.54
1582,5,11.9,3.57
1583,5,9.8,3.33
1584,7,11.6,3.29
1585,6,11.5,3.3
1586,6,11.4,3.34
1587,6,10.9,3.55
1588,6,12.8,3.27
1589,5,9.2,3.29
1590,6,11.6,3.32
1591,6,11.6,3.67
1592,6,11.0,3.42
1593,6,9.5,3.42
1594,5,10.5,3.45
1595,6,11.2,3.52
1596,6,11.0,3.42
1597,5,10.2,3.57
1598,6,11.0,3.39
